p,q,mean_absorption_time,mean_first_hit_time,mean_tail_frequency,mean_entrenchment_degree,mean_max_nontrue_formula_frequency,mean_true_world_formula_frequency,runs_reaching_absorption,runs_reaching_first_hit
0.16,0.15,5732.929,4238.004,1.0,4.342,0.16492695329134296,0.1673450343615152,1000,1000
0.17,0.01,8.523,6.404,1.0,13.824,0.06873691643092672,0.30742062511641943,1000,1000
0.17,0.02,16.854,12.311,1.0,9.401,0.08072060076929939,0.22468220492207752,1000,1000
0.17,0.03,26.036,17.785,1.0,7.894,0.09130969915087007,0.19996267171392051,1000,1000
0.17,0.04,36.791,24.918,1.0,7.042,0.1014438781725432,0.18845183554852343,1000,1000
0.17,0.05,46.238,30.213,1.0,6.401,0.11183412393587219,0.18356796539375803,1000,1000
0.17,0.06,58.997,37.485,1.0,6.227,0.12142053617878837,0.18510028311129806,1000,1000
0.17,0.07,79.757,51.718,1.0,5.844,0.12962599636931796,0.1805905456605118,1000,1000
0.17,0.08,98.227,61.353,1.0,5.481,0.13791548837900097,0.18112032746246057,1000,1000
0.17,0.09,130.845,78.798,1.0,5.555,0.14503965213584194,0.18138477840211004,1000,1000
0.17,0.10,176.793,111.862,1.0,5.125,0.15150985950941448,0.17954264306182344,1000,1000
0.17,0.11,238.212,143.548,1.0,5.004,0.15804313765060676,0.18080813470316506,1000,1000
0.17,0.12,323.064,204.817,1.0,4.871,0.16412878050589758,0.18263742483616452,1000,1000
0.17,0.13,501.359,323.978,1.0,4.839,0.16806750594630493,0.1811552508541871,1000,1000
0.17,0.14,867.318,582.732,1.0,4.719,0.17107233449160583,0.1801107931592325,1000,1000
0.17,0.15,1754.477,1260.894,1.0,4.65,0.1733746779677827,0.17848962346880345,1000,1000
0.17,0.16,6007.009,4587.861,1.0,4.54,0.1752156837946551,0.17764872482892488,1000,1000
0.18,0.01,7.686,5.712,1.0,14.422,0.06886587727105946,0.3210636837783986,1000,1000
0.18,0.02,15.647,11.381,1.0,10.031,0.08153179183432735,0.23786527127907325,1000,1000
0.18,0.03,23.898,17.105,1.0,8.409,0.09231430993768305,0.21083363195027652,1000,1000
0.18,0.04,31.729,21.035,1.0,7.334,0.10381451940484307,0.19882283699122927,1000,1000
0.18,0.05,39.573,26.019,1.0,6.825,0.11286642534694935,0.19463916118096666,1000,1000
0.18,0.06,53.152,34.212,1.0,6.415,0.12350869125859477,0.1913571427831526,1000,1000
0.18,0.07,63.761,41.523,1.0,6.113,0.13279359753372824,0.1921577083900969,1000,1000
0.18,0.08,86.685,55.719,1.0,5.814,0.14074884824881412,0.1889903285381428,1000,1000
0.18,0.09,108.12,66.855,1.0,5.678,0.1493647203179102,0.19188798498947915,1000,1000
0.18,0.10,139.492,84.622,1.0,5.469,0.15690313640468165,0.19199935534547177,1000,1000
0.18,0.11,184.236,112.64,1.0,5.306,0.1636344104941624,0.19214157377806532,1000,1000
0.18,0.12,236.772,143.609,1.0,5.181,0.16997855990921437,0.19392532582416355,1000,1000
0.18,0.13,337.386,213.305,1.0,4.911,0.1746699332878997,0.19258486630811109,1000,1000
0.18,0.14,537.398,358.558,1.0,4.906,0.17851263760327293,0.19135487646991226,1000,1000
0.18,0.15,859.546,592.768,1.0,4.65,0.18241091114677874,0.19136868828803955,1000,1000
0.18,0.16,1854.942,1323.853,1.0,4.715,0.18400692818471562,0.1892401140078327,1000,1000
0.18,0.17,6098.897,4557.94,1.0,4.589,0.18550332294538183,0.18805734209005792,1000,1000
0.19,0.01,7.045,5.187,1.0,15.303,0.06851099637891452,0.3386572219104778,1000,1000
0.19,0.02,13.698,9.869,1.0,10.594,0.08207308145957914,0.25201974156086243,1000,1000
0.19,0.03,22.034,15.12,1.0,8.845,0.09279340888688246,0.22053279266592601,1000,1000
0.19,0.04,29.673,20.525,1.0,7.857,0.10391460917706044,0.20768271604555705,1000,1000
0.19,0.05,36.846,24.383,1.0,7.177,0.115239754437119,0.2035460059973848,1000,1000
0.19,0.06,46.044,29.271,1.0,6.82,0.1258162449027128,0.20259624179569888,1000,1000
0.19,0.07,61.317,38.977,1.0,6.373,0.13474871292513535,0.19796671135733124,1000,1000
0.19,0.08,71.304,45.039,1.0,6.191,0.14426799824329334,0.20168648570308734,1000,1000
0.19,0.09,89.413,54.438,1.0,6.195,0.15279097713302303,0.20398467601868933,1000,1000
0.19,0.10,114.123,71.102,1.0,5.583,0.16013500880881662,0.20009061544554374,1000,1000
0.19,0.11,152.323,91.553,1.0,5.482,0.16725946849863374,0.20095528415237796,1000,1000
0.19,0.12,183.132,115.061,1.0,5.38,0.1737672066574938,0.20306856959072742,1000,1000
0.19,0.13,263.744,164.647,1.0,5.17,0.17978181320160583,0.2023201233973031,1000,1000
0.19,0.14,371.166,235.472,1.0,5.13,0.18434905783826322,0.20173873452082108,1000,1000
0.19,0.15,547.368,346.393,1.0,4.95,0.18915918773723803,0.20221638638008776,1000,1000
0.19,0.16,916.186,630.305,1.0,4.747,0.19197781838202707,0.2002661080451093,1000,1000
0.19,0.17,1827.472,1314.464,1.0,4.804,0.19516103064086326,0.20083471955735135,1000,1000
0.19,0.18,6659.193,4873.302,1.0,4.699,0.19529736367672165,0.19771589005220916,1000,1000
0.20,0.01,6.765,5.098,1.0,15.699,0.069261280048629,0.3478574995455725,1000,1000
0.20,0.02,13.03,9.43,1.0,10.974,0.08298873390852099,0.2599242193942723,1000,1000
0.20,0.03,18.468,13.035,1.0,9.466,0.09325004640404073,0.23525399362305968,1000,1000
0.20,0.04,25.398,17.32,1.0,8.327,0.10608487969920509,0.22163052252833113,1000,1000
0.20,0.05,32.261,22.395,1.0,7.491,0.11682110431063389,0.21236661506106533,1000,1000
0.20,0.06,41.639,27.217,1.0,7.212,0.12769288731422793,0.21278585016958088,1000,1000
0.20,0.07,50.55,32.002,1.0,6.64,0.1370648403584555,0.2089545202206221,1000,1000
0.20,0.08,62.334,39.919,1.0,6.429,0.14771104322347803,0.21101554668095437,1000,1000
0.20,0.09,77.437,48.072,1.0,6.303,0.15594405737682615,0.21251129228138207,1000,1000
0.20,0.10,95.287,57.089,1.0,5.966,0.16406625951395334,0.2111887064378069,1000,1000
0.20,0.11,121.371,76.387,1.0,5.758,0.17134882900118822,0.21132983233599267,1000,1000
0.20,0.12,153.632,96.124,1.0,5.534,0.1790340753349838,0.21267306361262026,1000,1000
0.20,0.13,197.712,120.594,1.0,5.364,0.1849053955923227,0.21240856484036472,1000,1000
0.20,0.14,263.703,169.648,1.0,5.39,0.1902373732248364,0.2128818528265663,1000,1000
0.20,0.15,386.27,245.989,1.0,5.283,0.1947050470287592,0.2114188189702715,1000,1000
0.20,0.16,571.69,370.888,1.0,5.011,0.19933004070077548,0.21209069430029973,1000,1000
0.20,0.17,941.457,657.649,1.0,5.145,0.2025658028215112,0.2119241520702258,1000,1000
0.20,0.18,1985.84,1424.455,1.0,4.972,0.2046119806958177,0.20994233956921685,1000,1000
0.20,0.19,6870.215,5096.276,1.0,4.921,0.205739397512567,0.20833920259752348,1000,1000
0.21,0.01,6.465,4.728,1.0,16.456,0.06910230063986358,0.3624106947224514,1000,1000
0.21,0.02,11.715,8.446,1.0,11.526,0.08261989292670734,0.27264024717309554,1000,1000
0.21,0.03,17.705,12.626,1.0,9.733,0.0958348200887151,0.24337821559935172,1000,1000
0.21,0.04,23.568,16.539,1.0,8.595,0.10715365703293836,0.22817550912133028,1000,1000
0.21,0.05,29.681,20.109,1.0,7.848,0.11743467115520598,0.22075440626580123,1000,1000
0.21,0.06,35.995,24.213,1.0,7.642,0.12924022666340998,0.22351159520593245,1000,1000
0.21,0.07,44.038,27.885,1.0,7.223,0.13843362267264217,0.22083420412511232,1000,1000
0.21,0.08,56.448,34.313,1.0,6.834,0.1496334400735965,0.21996338113497516,1000,1000
0.21,0.09,69.847,43.077,1.0,6.472,0.1583859883482118,0.2191711570565845,1000,1000
0.21,0.10,84.523,52.254,1.0,6.212,0.16697493510328973,0.21986938780977555,1000,1000
0.21,0.11,99.46,61.579,1.0,6.019,0.17560696129338652,0.2219443795030512,1000,1000
0.21,0.12,130.959,77.367,1.0,5.732,0.18194900168870629,0.2204085616694541,1000,1000
0.21,0.13,162.491,99.305,1.0,5.579,0.18960995701561495,0.22252547930991745,1000,1000
0.21,0.14,211.412,133.292,1.0,5.549,0.19513299799626516,0.22247142804210931,1000,1000
0.21,0.15,273.599,168.016,1.0,5.13,0.20157823293018015,0.22351557204569042,1000,1000
0.21,0.16,397.561,245.204,1.0,5.263,0.20555855815014923,0.22248506388344305,1000,1000
0.21,0.17,610.187,380.782,1.0,5.151,0.20961680284482706,0.22192312427977368,1000,1000
0.21,0.18,935.804,643.729,1.0,5.13,0.21370993408918856,0.22293785837681657,1000,1000
0.21,0.19,2039.468,1463.246,1.0,4.979,0.2147043914302996,0.2201243614779435,1000,1000
0.21,0.20,7103.132,5495.727,1.0,4.849,0.2161084060317871,0.21884481859481777,1000,1000
0.22,0.01,5.827,4.3,1.0,17.21,0.0678885480826999,0.37787050423190105,1000,1000
0.22,0.02,11.093,8.131,1.0,12.102,0.08302324563693665,0.2840635226007088,1000,1000
0.22,0.03,16.512,11.799,1.0,10.269,0.09510441219720187,0.2531473895639279,1000,1000
0.22,0.04,21.182,14.827,1.0,9.13,0.10674518821103744,0.23943938574716447,1000,1000
0.22,0.05,26.214,17.928,1.0,8.42,0.11912847092551766,0.23431539140849003,1000,1000
0.22,0.06,34.101,22.098,1.0,7.936,0.1299817694038486,0.22959849955899236,1000,1000
0.22,0.07,41.565,26.856,1.0,7.565,0.14096817151396238,0.2291411329665519,1000,1000
0.22,0.08,49.154,31.547,1.0,7.078,0.15183936024509206,0.22908158878245044,1000,1000
0.22,0.09,58.143,38.182,1.0,6.846,0.1607172187205151,0.23016361895105425,1000,1000
0.22,0.10,73.48,46.0,1.0,6.503,0.16941091518849294,0.22792942835186727,1000,1000
0.22,0.11,85.786,52.894,1.0,6.353,0.17861799014285373,0.23159921968643346,1000,1000
0.22,0.12,104.662,64.018,1.0,6.307,0.18627523469691545,0.23329621267537423,1000,1000
0.22,0.13,136.812,86.426,1.0,6.122,0.1928928686046023,0.23315266981935326,1000,1000
